date,RV_Bitcoin,V_Bitcoin,R_Bitcoin
2016-11-21,-0.002007014488002057,-0.17849000014162186,0.011244408574203613
2016-11-22,0.009047843893649304,0.5527783965603525,0.016367940480216392
2016-11-23,-0.0001663383130177689,0.018487912941701268,-0.008997138484062028
2016-11-24,-0.0006610438371491081,0.11446665830298741,-0.005774990263097912
2016-11-25,-0.00022901458834132958,-0.12465971294353295,0.0018371178862337523
2016-11-26,0.002900789069678271,-0.34312124617653694,-0.008454122564552025
2016-11-27,0.0017683521833970217,-0.3881823369034265,-0.004555467921346867
2016-11-28,-0.0011924006068930856,-0.23091878737141514,0.005163722798245951
2016-11-29,3.8596872041360524e-05,-0.1352379257941081,-0.00028539976352581764
2016-11-30,0.0009765070914246156,0.07119114137283944,0.013716693855356121
2016-12-01,0.0005312479454193533,0.03575327440611531,0.014858721452614354
2016-12-02,0.013954357467209527,0.49883037791498097,0.02797415330945996
2016-12-03,0.0009910559092820856,-0.1135466913206038,-0.008728179551122262
2016-12-04,-0.0009452711811548264,-0.267994805642477,0.0035271996369059533
2016-12-05,-0.005556927037899549,0.283476540990069,-0.019602775659994465
2016-12-06,0.002646677763920523,0.36377435135624836,0.0072756030051404075
2016-12-07,0.0008428130828141398,0.16473008034481396,0.0051163277590222656
2016-12-08,-0.00011273032813171765,-0.03231027871187209,0.003488992748623243
2016-12-09,-0.0004948028929197808,-0.19262576661186515,0.0025687264046911906
2016-12-10,-0.001067057714132891,-0.4433395327444778,0.0024068634428500157
2016-12-11,0.0024456789238973316,-0.3850701582107874,-0.006351255405667056
2016-12-12,-0.0011800698339515451,-0.08767713834821578,0.01345926493705596
2016-12-13,-1.4787842088401807e-05,-0.024544356882429952,0.0006024945839582241
2016-12-14,-0.00011870262973193294,-0.10071143985169329,0.0011786409757097438
2016-12-15,0.00011933258196722314,-0.027509152258332392,-0.004337922915493619
2016-12-16,2.1653104578563134e-06,0.0002470390636588604,0.008765052885912894
2016-12-17,-0.00040148815917753896,-0.053231768753384756,0.007542265992279473
2016-12-18,0.00012143472093227972,-0.3201140678494667,-0.00037934827965568907
2016-12-19,-0.00026552424337526336,-0.09628664225479255,0.0027576436061882426
2016-12-20,0.0020569551886076166,0.19958004254114314,0.01030641722698089
2016-12-21,0.027130703427448874,0.6505520287717133,0.04170412546199187
2016-12-22,0.03291149527516883,0.9073827586968868,0.036270796375317715
2016-12-23,0.08074989581574782,1.2153815273075672,0.06643995650866352
2016-12-24,-0.01303343353704573,0.5188499590883175,-0.025119850755981665
2016-12-25,-0.0015871225798516745,0.5403551201599335,-0.002937184308315466
2016-12-26,0.004745841758105106,0.37210222806461957,0.01275413421410887
2016-12-27,0.018486092969903233,0.6556531004460275,0.02819492954022107
2016-12-28,0.045282898125509334,0.9891854056817735,0.04577796828118297
2016-12-29,-0.0019898573044970828,0.8024551820681118,-0.002479711451758293
2016-12-30,-0.009185086681522802,0.7293378372318493,-0.01259373394966612
2016-12-31,0.00018329247891688607,0.07047522497362735,0.002600807290582985
2017-01-01,0.016060192594792737,0.44746603097154036,0.03589142299790393
2017-01-02,0.019859424143299876,0.8465524724586047,0.0234591768252983
2017-01-03,0.014093124955260997,0.6518628530121298,0.021619770002446748
2017-01-04,0.13260641818394803,1.2482629953749864,0.1062327559779277
2017-01-05,-0.198353610300025,1.6204093698036637,-0.12240956760454824
2017-01-06,-0.1350195688810252,1.2306721596748815,-0.10971205273441353
2017-01-07,0.006863098470243471,0.968996469460663,0.00708268676568391
2017-01-08,0.0010757612019555464,0.37449267068381786,0.002872582793119083
2017-01-09,-0.002235987771247924,0.24342079535975003,-0.00918568920105356
2017-01-10,0.00021377251743670528,0.03979386431286258,0.005371996942945989
2017-01-11,-0.14458442704520055,1.0101323332850036,-0.1431341441917856
2017-01-12,0.0235650223092118,0.6770569542376279,0.03480508125900017
2017-01-13,0.008899263772141475,0.37401537659178175,0.023793844662848063
2017-01-14,0.0016346511223898185,-0.24181684592939945,-0.006759872812446943
2017-01-15,-0.0021989113505195045,-0.5308587133860492,0.004142178125878138
2017-01-16,-0.004600861176148061,-0.38859072092070335,0.011839863713799081
2017-01-17,0.02145057219247985,0.23343533955258167,0.09189085180330236
2017-01-18,-0.014149447487079627,0.6025726712673105,-0.023481727867480262
2017-01-19,-0.002433653916113982,-0.17331134418513727,0.014042092440955667
2017-01-20,0.0017550702464957761,-0.39057698181112244,-0.004493532205501305
2017-01-21,-0.004423744881428743,-0.14795905759436323,0.02989843915846402
2017-01-22,-0.0002890441761847584,-0.09251320526574602,0.0031243558728126786
2017-01-23,0.002224930595396395,-0.5621110856954061,-0.003958168860242028
2017-01-24,0.004959711804817898,-0.16129746360718045,-0.030748851803997668
2017-01-25,-0.000714355716967072,-0.07205629434794858,0.009913855873819433
2017-01-26,0.000301010151628345,0.01690795589401972,0.01780287064356556
2017-01-27,-8.739352482329949e-05,-0.037125659464173566,0.0023539925238940107
2017-01-28,-0.0012934599162117892,-0.6465542162694469,0.0020005436259853404
2017-01-29,0.0017785059925404438,-0.7842360467298093,-0.002267819746308075
2017-01-30,-0.0005149966335692537,-0.5381129597351872,0.0009570418705817652
2017-01-31,0.01111152457149226,0.20445471781507507,0.054347117494947694
2017-02-01,0.0021486184793602613,0.11197740990178318,0.019187963726298385
2017-02-02,0.0015819536104819702,0.06868234239854587,0.023032901255788607
2017-02-03,0.006749516936426831,0.3770933868733657,0.01789879422810836
2017-02-04,0.0013166620930009638,0.10439133612029394,0.012612752570613006
2017-02-05,0.0032727585701817197,-0.2193547501826778,-0.01491993479720033
2017-02-06,-0.002680773359098004,-0.25477018526694906,0.010522319777289013
2017-02-07,-9.964687896764858e-06,-0.00044589830775976225,0.02234744497423291
2017-02-08,0.0005109320314094839,0.3152777392653583,0.0016205775663071798
2017-02-09,-0.06521448492942009,1.0092817366999363,-0.06461474785291654
2017-02-10,-0.0014011932409759686,0.2440137539337428,-0.005742271566202106
2017-02-11,-0.00626249363561812,-0.3923662599953417,0.015960836274995893
2017-02-12,0.004196186055037704,-0.7997835072073123,-0.005246652396834195
2017-02-13,0.003376557115440479,-0.39505718250653743,-0.008547008547008517
2017-02-14,-0.0008987966135209302,-0.06401034343769751,0.014041427763869851
2017-02-15,-0.0014277711334698226,-0.4895110894631536,0.0029167288835798555
2017-02-16,-0.003495132473493894,-0.1764166364927675,0.019811807678564275
2017-02-17,-0.0008547657526336539,-0.04678852023899438,0.01826870668846836
2017-02-18,-0.00280220859164072,-0.3570887516029728,0.007847372898366567
2017-02-19,0.0037096701452932683,-0.597183266351152,-0.006211945903909388
2017-02-20,-0.007683293080513702,-0.25073473435932314,0.03064311412675247
2017-02-21,0.009717803804050917,0.2971413859654284,0.032704309339061766
2017-02-22,-1.0422572081455568e-05,-0.005431913384320808,0.001918766251232995
2017-02-23,0.014338838094805208,0.3251378092666215,0.04410080183276066
2017-02-24,0.005377017117163227,0.901361122261001,0.005965441579813602
2017-02-25,-0.001564926110251265,0.061552361832429625,-0.025424306454911116
2017-02-26,-0.0022553884606039414,-0.12077731913750966,0.01867394041124637
2017-02-27,0.00019152498907474695,0.01510933766214606,0.012675935461723187
2017-02-28,0.0,0.3620013090107186,0.0
2017-03-01,0.020811158916617004,0.5773934443179058,0.036043289236167064
2017-03-02,0.024316819705905147,1.042697723271452,0.023321063394682984
2017-03-03,0.017156207427185086,0.8950203108207972,0.0191685118424314
2017-03-04,-0.00530261483731234,0.3407651658984321,-0.015560906360049809
2017-03-05,0.00015098979851734952,0.015832485013287823,0.009536708759908974
