date,RV_Bitcoin,V_Bitcoin,R_Bitcoin,R5_Bitcoin,btc_tot,turnover,turnover_pct_change,log_btc_tot
2012-11-17,-0.02989588509112031,-0.9161215953850981,0.032633097223904395,0.06300163032429973,10417550.0,7.634716539685435e-05,-0.3085020579772575,16.15900244188326
2012-11-18,0.003860890339547541,-0.6802038466452238,-0.005676078367668036,0.05152421055108847,10424600.0,9.913672477121423e-05,-0.5985459488668945,16.159678955608463
2012-11-19,-0.005839919734447325,0.6984026741273563,-0.008361823273005387,0.04217189939128341,10431650.0,0.00040325527020845217,2.2384852903073265,16.16035501197224
2012-11-20,0.0030732909123447976,0.1577901908969519,0.01947707202123783,0.0565307649664033,10439475.0,0.00024182209795607537,0.02573833292853589,16.161104851797994
2012-11-21,-0.0031729137327804278,0.4612631968442322,-0.006878748953933811,0.030877129670717984,10447300.0,0.0003301695204598317,-0.5155044822779477,16.161854129785244
2012-11-22,0.03974864836409296,1.5359869749993234,0.025878245721524085,0.0241337646295956,10454600.0,0.0009594434524898131,11.566851008843663,16.16255263090685
2012-11-23,-0.00035447329372045926,-0.017042759793218565,0.02079905473182264,0.051402622534310494,10461900.0,0.0001993843849157419,1.0112060931594948,16.163250644465176
2012-11-24,-0.00416078330068351,-0.4476070521443596,0.00929561605598117,0.07012424747115276,10469475.0,0.00013171136456794635,-0.6733796820563271,16.163974438323027
2012-11-25,-0.00606729398940522,-0.6402592428767573,0.009476308318711935,0.05962665019798985,10477050.0,0.00010597078487455915,-0.5617820465116976,16.164697708682215
2012-11-26,-0.004312183577094001,0.7600071545949056,-0.005673872345836606,0.06091221262331814,10484825.0,0.00043579886631870345,0.31992458211091157,16.165439531668618
2012-11-27,-0.010611446248988719,0.5699319131708629,-0.01861879639262709,0.014895586769910985,10492600.0,0.0003518910574576368,-0.6332341874401681,16.166180804761574
2012-11-28,0.010146202232351431,0.7195379100497181,0.014100997446611752,0.008236265577182822,10498625.0,0.00041264188668706616,1.0695797560147202,16.16675485417179
2012-11-29,0.0050225737746755605,0.5098468036919543,0.00985114300669454,0.008791209450220938,10504650.0,0.0003382859759097162,1.568388665772296,16.167328574238326
2012-11-30,0.002466322720544013,0.475053972745588,0.0051916684461974505,0.004509477423987107,10508262.5,0.00033043775211077947,2.118196703949383,16.16767241044243
2012-12-01,0.0007466745574818079,0.14696549630157385,0.005080611274564939,0.015374102642054188,10511875.0,0.00023914373014709555,-0.4512520599991472,16.168016128463833
2012-12-02,0.0006100851172226246,-0.24625962396875423,-0.0024774061918491075,0.03207459530511447,10515637.5,0.00016560002189881497,-0.5293997435022881,16.168373992955903
2012-12-03,0.004363685649528522,0.7907509184612183,0.005518407310888929,0.023339890119635776,10519400.0,0.00048717092190429107,0.18061432351327245,16.168731729426792
2012-12-04,0.018183526443265402,0.8335048909417395,0.021815740544390394,0.035464300746232746,10522287.5,0.0005250065844655927,0.5519608315235323,16.16900618460232
2012-12-05,0.009144395839107816,0.2839221076579097,0.03220741038639252,0.06329365629638994,10525175.0,0.0003042382351808877,-0.07928729923422417,16.169280564472874
2012-12-06,0.007144111455554488,0.5833131304658972,0.012247472382197921,0.07087561327160197,10528512.5,0.00042549968199211423,0.779263381609012,16.169597611073662
2012-12-07,0.0012459810103285231,0.33574429290392516,0.003711101086936619,0.07751919364616344,10531850.0,0.0003317998241382093,1.0036218614810681,16.169914557187763
2012-12-08,0.00011795943461925526,-1.5711045541767543,-7.508057583160976e-05,0.07152518049479095,10535162.5,4.83566031990489e-05,-0.9007399640971409,16.170229029876026
2012-12-09,0.007273808086272669,-0.7320511329319626,-0.009936202211913936,0.038228564634398055,10538475.0,0.00011265812187057425,-0.785415792479537,16.170543403702307
2012-12-10,0.003685131964863674,0.9478678966725793,0.0038878117697624948,0.00974376988586978,10542062.5,0.0006112687296257255,1.0091778709611892,16.170883765046003
2012-12-11,0.00035577775422316953,0.07319381907798928,0.004860762270705976,0.002375330133208564,10545650.0,0.0002504683897493279,-0.4113546957857189,16.171224010583266
2012-12-12,0.0026365157283025323,0.4418525287766988,0.0059669585587796,0.004628185437512089,10548962.5,0.0003721367530532031,0.12157007322038749,16.171538071818308
2012-12-13,-0.0031836472724483247,0.7335043539628616,-0.004340324982732846,0.0003428789452804004,10552275.0,0.0004984274613142663,9.307329885488516,16.171852034449856
2012-12-14,0.02111316180175147,0.8522783877358373,0.02477261198402636,0.03541204842215029,10555050.0,0.0005636787114499694,4.003444954439628,16.172114976344766
2012-12-15,0.012566026738756814,-0.502157175677107,-0.025024090757665318,0.005592249965854945,10557825.0,0.00014509816241413357,-0.7626278666291733,16.172377849119407
2012-12-16,-0.0007678654109693815,-0.7453996920703325,0.0010301391577405283,0.001758838353450587,10560837.5,0.00011531366492193447,-0.5396079120509302,16.172663141809743
2012-12-17,-0.016299339664234462,0.7164941123492161,-0.02274874194121812,-0.026836739792173492,10563850.0,0.0005029762617738797,0.35158985949977106,16.172948353131368
2012-12-18,-0.00041508327171883445,0.731453134870967,-0.0005674776030484274,-0.023149137945471687,10567212.5,0.0005126170050408279,0.028468623476616495,16.173266604996687
2012-12-19,0.008762980723419491,0.6165893344818123,0.014212021248768414,-0.033215880599307024,10570575.0,0.0004629565156304175,-0.17868724465478025,16.173584755609976
2012-12-20,-0.0023679719205100366,-0.3518871381577373,0.006729350589246508,-0.0017292330426796898,10573437.5,0.00017649242836211026,0.21636570322904847,16.17385551784278
2012-12-21,0.00017748772349552647,-0.04904158706035666,-0.003619126829584207,-0.006365683176798864,10576300.0,0.00024201056663105246,1.0987154193294417,16.174126206783246
2012-12-22,0.0018821000467986143,-1.1090137708223988,-0.0016970934864072307,0.015038884131662877,10579825.0,8.226938039617857e-05,-0.8364348645281316,16.174459443614907
2012-12-23,0.011972876156864737,-1.6081746858513615,-0.007445009713311301,0.008053957823643376,10583350.0,4.894594773677522e-05,-0.9045175106259363,16.174792569436775
2012-12-24,0.0015751270370587996,-0.5581264988095622,-0.0028221685234770533,-0.008876804244319914,10586475.0,0.00014281446583872345,-0.6915164577730373,16.175087800977206
2012-12-25,-0.003477868246400258,-0.8110340246083396,0.004288190311226181,-0.011280122052315877,10589600.0,0.00010727895951877314,-0.3921611226365561,16.1753829453817
2012-12-26,0.0008330449993931912,-0.11383343295183757,-0.007318104864197927,-0.014950659303073488,10593412.5,0.00021218831625786306,-0.12322705900132747,16.17574290363043
2012-12-27,0.0006683877572047912,0.30243018856664605,0.0022100563451439292,-0.011095381170092122,10597225.0,0.0003158951027858708,2.8397651868123734,16.17610273235584
2012-12-28,0.002474214610390589,0.5340706175133452,0.004632748047272539,0.0009379575883985414,10601100.0,0.00039400456576204354,7.049789287582039,16.176468327283096
2012-12-29,-0.01177557643691115,-2.102427036870088,0.0056009441613924515,0.009392831875812524,10604975.0,2.591110272018557e-05,-0.8185680801450024,16.176833788599545
2012-12-30,-0.0010126922471494057,-0.8693278378252671,0.0011649140900431565,0.006253680524592076,10609075.0,9.622801541887488e-05,-0.10301129083904303,16.177220324885738
2012-12-31,0.0018881164583027387,-0.37754057787585893,-0.005001095429068236,0.008602367735806471,10613175.0,0.00015469316314769145,-0.2709628603692783,16.177606711819358
2013-01-01,0.0016560647106043742,-0.13583530807023791,-0.012191710197675953,-0.005891256372934306,10617175.0,0.000199387257779965,-0.36881814241001554,16.177983530858832
2013-01-02,-0.001979500184498785,-0.28080489121801655,0.0070493792893440155,-0.003499940489060105,10621175.0,0.000173318745216984,-0.5601098051192159,16.178360207959198
2013-01-03,0.0007505835245093933,0.30670724903656676,0.002447231119796278,-0.006625111812613049,10624937.5,0.0003125639142536132,11.062933701780125,16.17871439040451
2013-01-04,-0.00025055164159529816,0.0946706329043252,-0.002646561387716795,-0.010406930345467025,10628700.0,0.0002540530363459313,1.6401150978751193,16.179068447449033
2013-01-05,-0.0014455507633144087,-0.5154950666566691,0.002804199025006726,-0.0026440421021916016,10632337.5,0.0001376494913437426,-0.11017727905451524,16.17941062266372
2013-01-06,0.003641647404485139,-1.6275823825444533,-0.0022374581118235204,0.00740642287844584,10635975.0,4.264424178319336e-05,-0.7861235353853271,16.179752680834575
2013-01-07,0.0015854513283056419,0.46970745010047477,0.003375401705820291,0.0037311427072141967,10639862.5,0.0003698589579498795,1.1339812810601626,16.18011811886194
2013-01-08,0.013124275015217495,0.9195326138498396,0.014272767292363486,0.015571824757238062,10643750.0,0.0005718168084481504,0.82943961977703,16.180483423393135
2013-01-09,0.003952700533138795,0.6510766907656329,0.006071021416064859,0.024448649293811187,10647250.0,0.00043581839378055366,0.7154622516974036,16.180812200813786
2013-01-10,0.01176417493117299,0.41355226365077336,0.028446646204570936,0.050644561121098386,10650750.0,0.0003492192924582776,1.5370184012245733,16.18114087017537
2013-01-11,-0.00030926814468266734,-0.024167670954323484,0.01279677074663832,0.06647561321782369,10653750.0,0.0002258008718488795,4.29499089224915,16.181422500818645
2013-01-12,0.00019743645600080203,-0.0719727430039363,-0.002743211495913167,0.05997221303951772,10656750.0,0.00021071745135242922,-0.4302761990126408,16.18170405216843
2013-01-13,0.005830263769361531,-0.4222350748746031,-0.013808099128413298,0.030626124803750043,10660200.0,0.00014807505613872158,-0.74104458989133,16.182027738252053
2013-01-14,0.008260460607588673,0.5627300076965795,0.014679260914841175,0.039444464987645755,10663650.0,0.0004046086094432957,-0.07161190253244099,16.182351319596894
2013-01-15,0.009727464349390962,0.6946090122829993,0.014004229973088478,0.02484760702883615,10666775.0,0.00046512456222335243,0.33189824350532526,16.182644328294316
2013-01-16,0.014626465195926027,0.7867493764249236,0.018591009582225926,0.030710789038024267,10669900.0,0.0005094920063243329,1.2563774982468527,16.18293725116279
2013-01-17,0.02788449600595205,0.7418978194914319,0.037585359160466014,0.07239222290859648,10673000.0,0.0004898113390649303,1.324493467063204,16.1832277458961
2013-01-18,0.03493417381139563,0.9916513254756625,0.03522828328257299,0.12571474065655042,10676100.0,0.0006322089225653562,3.2695166833033795,16.18351815626673
2013-01-19,0.0010543358099196992,-0.2261921134692546,-0.004661240366645281,0.10425782493657576,10679512.5,0.00018666959066155876,-0.5386415753278235,16.183837744387095
2013-01-20,-0.004398846563259121,-0.5681457781224601,0.007742461059546901,0.09743871401343251,10682925.0,0.00013364948942167057,-0.7126587149411985,16.18415723040352
2013-01-21,0.039899610243464986,0.7952725053464222,0.05017099167295447,0.13146325831844363,10686350.0,0.0005272734098667927,0.03490026010563252,16.184477784098423
2013-01-22,0.023431670900972396,0.4148722166568408,0.056479248212356836,0.15206661502565155,10689775.0,0.0003580764796518168,-0.26895020369393796,16.184798235071582
2013-01-23,0.0023893478000945397,0.6487930477774402,0.0036827580201108656,0.11696078658644637,10693300.0,0.000453850109883759,-0.28212004974219407,16.185127935082637
2013-01-24,0.08311924196262507,1.7728559459715285,0.046884374419420505,0.17480484206935998,10696825.0,0.0013910829064979562,6.452113124413813,16.18545752642742
2013-01-25,-0.03838399719444824,0.7032644627055049,-0.054579748060612165,0.10215092911838441,10700437.5,0.0004795656896533436,2.588234356363987,16.185795186446718
2013-01-26,0.00012764775970782358,-0.04032327434353533,-0.003165609980487316,0.04617434479594773,10704050.0,0.00023223889126919252,-0.5595475005503046,16.186132732490208
2013-01-27,-0.0001858426522905989,-0.007714114488887702,0.024091248912406993,0.014102258189220507,10707800.0,0.00024183998465044176,-0.3246135996265379,16.186483005823746
2013-01-28,0.022142464368439887,0.6799247430391935,0.03256605175076488,0.04328539714637292,10711550.0,0.0004989491658378105,0.0993699350774695,16.186833156508833
2013-01-29,0.03180173664372994,0.5023363729029233,0.06330765271874039,0.059652215528253505,10715387.5,0.00042384281523649985,-0.6953144825109512,16.18719135049162
2013-01-30,0.00019697045754154998,-0.06351949469003948,-0.0031009449697722014,0.11735103003540104,10719225.0,0.00023859073174226683,-0.5024858181269529,16.18754941621742
2013-01-31,0.03717780138279413,0.7277796587393643,0.051083869872362575,0.17815923729566618,10723512.5,0.0005351661735872458,1.304377921641576,16.18794931852067
2013-02-01,0.006049670534324921,0.24599377800272393,0.024592778660677883,0.17873621899171277,10727800.0,0.00032661228859691643,0.3505305546103368,16.188349060965994
2013-02-02,-0.024604554839702492,0.5541354318085752,-0.044401699345228085,0.09087290433270545,10731875.0,0.0004460523416457982,-0.10601645981949015,16.188728843050203
2013-02-03,-0.0022669661984761886,-0.08776733588785923,0.025829269802295274,0.052422929560850706,10735950.0,0.00023094571454319366,-0.45511471177273966,16.189108480954737
2013-02-04,0.006070559738920674,0.4818208057932356,0.012599206314734657,0.06899752568070383,10740300.0,0.00041962991110769713,0.758785465149562,16.18951357961577
2013-02-05,-0.00021772395893166104,0.12538560245386066,-0.001736435082423271,0.015277002589408673,10744650.0,0.0002971997881717878,-0.44465886888993256,16.189918514238325
2013-02-06,0.0038255999935176196,0.19796820463504083,0.019324315238248513,0.010056440954406609,10748425.0,0.0003185824910058916,-0.02458510555594773,16.190269790176163
2013-02-07,0.018551859573524565,0.815900187925366,0.022737903297580297,0.08102223070729941,10752200.0,0.0005866312533779133,0.3151623668500907,16.190620942762543
2013-02-08,0.0008254872032239534,0.01700969367744598,0.04853039795293368,0.104944753602074,10755800.0,0.0002604795509297309,0.1278821581294749,16.190955701925052
2013-02-09,-0.004987639773900473,-0.2767800240335525,0.018020230294133688,0.11086015622912893,10759400.0,0.00019834553730691302,-0.5273322228548001,16.191290349061365
2013-02-10,-0.007994740677135974,-0.2509267066742513,0.031860860022024706,0.14824697249712004,10763437.5,0.00020391360686862353,-0.3138837408902959,16.191665531938376
2013-02-11,0.0002941831046093261,0.03312243979630303,0.008881685842543563,0.13648357451938709,10767475.0,0.00027660591717835423,-0.13176045455291852,16.192040574105988
2013-02-12,0.0589355948789427,1.0511886547139904,0.056065668721451356,0.1735179484851319,10771225.0,0.0007923178611559966,0.3506233372219911,16.192388784540036
2013-02-13,0.006803469421510029,0.27929420791282755,0.02435950774759177,0.1464658253018558,10774975.0,0.00036971214813584253,0.4193519100298937,16.192736873765778
2013-02-14,-0.014090750760148686,1.3401599932153596,-0.01051423026465792,0.1143311162847016,10779225.0,0.0011171958080381475,4.632573453414469,16.193131228467422
2013-02-15,-0.000562826021029194,-0.007620329530174885,0.07385848850768495,0.15968535545095608,10783475.0,0.00029166323225583593,0.43032746433516467,16.193525427714736
2013-02-16,0.000370154214686004,-0.15513202119207037,-0.0023860593824643894,0.14673335195068282,10788162.5,0.0002579113437140013,-0.06758558766585876,16.19396002616131
2013-02-17,-0.02878081307188509,0.893001441059246,-0.032229301934548205,0.050857886381081574,10792850.0,0.0007358575456890441,-0.07125967775682418,16.19439443581412
2013-02-18,-0.0015052647550849504,-0.08680755567054277,0.01734025043623877,0.04365705322984503,10796937.5,0.0002874465037859115,-0.2225126893036372,16.194773087067528
2013-02-19,0.057111667371553515,0.9888706503504494,0.05775443669130387,0.11566321841425764,10801025.0,0.0008833468834911502,-0.20931776047177253,16.195151594998432
2013-02-20,0.003415537446954528,0.06811850482026394,0.0501411100547009,0.09102253525126769,10805650.0,0.00035466568167116276,0.2160109415507796,16.19557970344831
2013-02-21,-0.0002899773684281312,-0.031184381729010724,0.009298801270071877,0.10380147284840713,10810275.0,0.00033080675785768633,0.28263748733952143,16.19600762869977
2013-02-22,0.010020101885133883,0.49815115696816115,0.020114581176761792,0.16350286222541954,10814312.5,0.0005716685432994469,-0.22312607019046538,16.19638104623173
2013-02-23,-0.00149819615192062,0.029795870833217997,-0.050282005862716805,0.08616522742699506,10818350.0,0.00035734176279099867,0.24315918991710816,16.19675432437508
2013-02-24,-0.023805754922699686,-0.8649259987551661,0.027523458604507,0.055122259371292115,10822837.5,0.00014698340617144072,-0.8336062435738324,16.197169042843214
2013-02-25,-0.014082617613108032,-0.9007241435898594,0.015634773102652044,0.020452248018649755,10827325.0,0.00014452772755412812,-0.592495877037997,16.19758358939124
2013-02-26,0.005531153678179507,0.23831126009851467,0.0232097873843351,0.03451696010846206,10831800.0,0.00046824181979818685,0.4154542151149927,16.197996810152805
2013-02-27,-0.0018102386830165097,-0.21033355700793432,0.008606513904712898,0.022846417415826492,10836275.0,0.0002924016246496144,-0.4885119566628824,16.1984098602335
2013-02-28,0.03288846726886974,0.5416013421466985,0.06072449366264965,0.1424004335030271,10840387.5,0.0006205381795678429,0.7365397616029057,16.19878930056933
2013-03-01,-0.0016376904339510366,-0.05417141738027009,0.03023163345449964,0.14541138191177216,10844500.0,0.00033809081370372076,1.3001971617760262,16.199168596984798
2013-03-02,-0.000552579787949499,-0.6045546544023033,0.0009140278450023853,0.12880963725426486,10848275.0,0.00019621295922623642,0.3576146428563425,16.199516639135986
2013-03-03,-0.0013223456776984097,-1.2293094542469483,0.0010756816952233184,0.10439119235476468,10852050.0,0.00010473837501578042,-0.7763156331040169,16.199864560195977
2013-03-04,0.01581179113199489,0.44304263118662135,0.03568909630580119,0.13404573558609023,10856112.5,0.0005679053824184302,0.9422100786852763,16.200238843376088
2013-03-05,0.05624440343821993,0.49858426115557464,0.11280822083685837,0.18972968466827833,10860175.0,0.0005963248483307129,-0.03901988956423719,16.20061298652071
2013-03-06,0.1696802956486103,0.9536196094295724,0.1779328927077204,0.3602977073247122,10864100.0,0.0009479330023287708,1.8037821907798812,16.200974333451065
2013-03-07,-0.18241219969183609,1.4038865437246262,-0.12993371900829076,0.18246835824828778,10868025.0,0.0014960456918529355,6.624601849707455,16.201335549856978
