"","name","date","open","high","low","close","volume","market"
"231","Bitcoin","2013-12-14",899.85,904.65,858.36,872.6,0,10904900000
"232","Bitcoin","2013-12-15",875.29,886.16,825,876.12,0,10611600000
"233","Bitcoin","2013-12-16",880.33,882.25,668.25,705.97,0,10676600000
"234","Bitcoin","2013-12-17",706.37,754.83,630.88,682.12,0,8570390000
"235","Bitcoin","2013-12-18",678.2,679.32,420.51,522.7,0,8232040000
"236","Bitcoin","2013-12-19",519.06,707.23,502.89,691.96,0,6302970000
"237","Bitcoin","2013-12-20",694.22,729.16,595.33,625.32,0,8433870000
"238","Bitcoin","2013-12-21",619.9,654.27,579.17,605.66,0,7533740000
"239","Bitcoin","2013-12-22",601.78,666.74,585.64,617.18,0,7315940000
"240","Bitcoin","2013-12-23",613.06,680.91,611.04,673.41,0,7455670000
"241","Bitcoin","2013-12-24",672.36,684.39,645.71,665.58,0,8179730000
"242","Bitcoin","2013-12-25",666.31,682.7,649.48,682.21,0,8108930000
"243","Bitcoin","2013-12-26",683.94,777.75,683.94,761.98,0,8326270000
"244","Bitcoin","2013-12-27",763.28,777.51,713.6,735.07,46862700,9295570000
"245","Bitcoin","2013-12-28",737.98,747.06,705.35,727.83,32505800,8990850000
"246","Bitcoin","2013-12-29",728.05,748.61,714.44,745.05,19011300,8872600000
"247","Bitcoin","2013-12-30",741.35,766.6,740.24,756.13,20707700,9.037e+09
"248","Bitcoin","2013-12-31",760.32,760.58,738.17,754.01,20897300,9268240000
"249","Bitcoin","2014-01-01",754.97,775.35,754.97,771.4,22489400,9203030000
"250","Bitcoin","2014-01-02",773.44,820.31,767.21,802.39,38489500,9428180000
"251","Bitcoin","2014-01-03",802.85,834.15,789.12,818.72,37810100,9786680000
"252","Bitcoin","2014-01-04",823.27,859.51,801.67,859.51,38005000,10035600000
"253","Bitcoin","2014-01-05",858.55,952.4,854.52,933.53,72898500,10465700000
"254","Bitcoin","2014-01-06",936.05,1017.12,905.71,953.29,85565700,11410400000
"255","Bitcoin","2014-01-07",946.49,965.74,802,802,81311700,11571400000
"256","Bitcoin","2014-01-08",795.99,870.68,776.18,842.72,74175600,9734800000
"257","Bitcoin","2014-01-09",841.47,864.36,804.14,846.86,59998600,10295100000
"258","Bitcoin","2014-01-10",846.69,871.19,822.6,868.48,31876800,10363300000
"259","Bitcoin","2014-01-11",867.32,921.48,861.72,913.95,44754200,10619900000
"260","Bitcoin","2014-01-12",919.6,928.52,851.17,863.22,39623500,11264800000
"261","Bitcoin","2014-01-13",860.19,861.29,806.05,841.2,45580900,10541500000
"262","Bitcoin","2014-01-14",843.17,855.69,825.66,833.27,20829800,10336500000
"263","Bitcoin","2014-01-15",833.12,872.81,830.86,860.9,28107200,10216700000
"264","Bitcoin","2014-01-16",860.29,866.16,835.63,835.63,19149300,10553800000
"265","Bitcoin","2014-01-17",834.49,842.91,797.63,814.64,39031700,10241200000
"266","Bitcoin","2014-01-18",816.07,841.49,816.07,840,18052700,10018200000
"267","Bitcoin","2014-01-19",839.66,870.96,825.53,870.96,24365700,10311500000
"268","Bitcoin","2014-01-20",871.39,886.39,853.87,870.2,27652700,10704800000
"269","Bitcoin","2014-01-21",869.65,881.2,855.93,863.91,18997300,10687700000
"270","Bitcoin","2014-01-22",867.21,870.15,837.36,845.59,18453700,10661400000
"271","Bitcoin","2014-01-23",845.46,851.57,819.32,822.04,15607100,1.0398e+10
"272","Bitcoin","2014-01-24",822.43,822.43,783.58,797.07,34912000,10118400000
"273","Bitcoin","2014-01-25",796.24,861.45,792.96,853.61,24303900,9799920000
